date,rides
2022-01-01,7683
2022-01-02,8758
2022-01-03,10833
2022-01-04,10075
2022-01-05,9842
2022-01-06,9692
2022-01-07,9606
2022-01-08,7994
2022-01-09,6828
2022-01-10,9321
2022-01-11,9210
2022-01-12,9611
2022-01-13,10061
2022-01-14,10784
2022-01-15,8177
2022-01-16,6989
2022-01-17,8819
2022-01-18,10285
2022-01-19,10543
2022-01-20,11035
2022-01-21,11118
2022-01-22,8323
2022-01-23,7595
2022-01-24,10425
2022-01-25,10837
2022-01-26,11275
2022-01-27,12221
2022-01-28,12354
2022-01-29,9338
2022-01-30,7898
2022-01-31,6213
2022-02-01,12175
2022-02-02,7154
2022-02-03,10965
2022-02-04,13921
2022-02-05,10832
2022-02-06,8657
2022-02-07,11890
2022-02-08,12466
2022-02-09,12407
2022-02-10,13249
2022-02-11,13771
2022-02-12,10702
2022-02-13,9407
2022-02-14,13264
2022-02-15,13404
2022-02-16,13516
2022-02-17,11445
2022-02-18,16106
2022-02-19,12120
2022-02-20,10194
2022-02-21,11236
2022-02-22,13996
2022-02-23,15713
2022-02-24,16875
2022-02-25,17638
2022-02-26,14186
2022-02-27,10875
2022-02-28,13293
2022-03-01,14231
2022-03-02,14928
2022-03-03,16609
2022-03-04,17736
2022-03-05,14979
2022-03-06,12431
2022-03-07,15004
2022-03-08,14922
2022-03-09,15571
2022-03-10,17043
2022-03-11,16919
2022-03-12,17314
2022-03-13,11560
2022-03-14,15386
2022-03-15,15793
2022-03-16,16037
2022-03-17,17932
2022-03-18,19020
2022-03-19,13307
2022-03-20,12045
2022-03-21,16514
2022-03-22,19179
2022-03-23,19421
2022-03-24,21003
2022-03-25,19854
2022-03-26,14361
2022-03-27,12656
2022-03-28,16800
2022-03-29,17604
2022-03-30,18467
2022-03-31,18802
2022-04-01,18905
2022-04-02,14502
2022-04-03,11705
2022-04-04,15924
2022-04-05,17806
2022-04-06,18743
2022-04-07,20512
2022-04-08,20233
2022-04-09,14840
2022-04-10,13540
2022-04-11,15105
2022-04-12,16217
2022-04-13,17174
2022-04-14,18721
2022-04-15,17961
2022-04-16,14804
2022-04-17,12501
2022-04-18,15878
2022-04-19,16786
2022-04-20,17772
2022-04-21,17647
2022-04-22,18717
2022-04-23,14778
2022-04-24,13694
2022-04-25,17925
2022-04-26,18566
2022-04-27,20082
2022-04-28,20265
2022-04-29,21090
2022-04-30,11497
2022-05-01,13676
2022-05-02,15880
2022-05-03,19007
2022-05-04,19446
2022-05-05,20701
2022-05-06,21006
2022-05-07,16150
2022-05-08,14241
2022-05-09,17859
2022-05-10,20067
2022-05-11,21096
2022-05-12,21113
2022-05-13,21119
2022-05-14,16748
2022-05-15,14563
2022-05-16,18840
2022-05-17,19787
2022-05-18,21154
2022-05-19,22228
2022-05-20,23606
2022-05-21,19567
2022-05-22,18639
2022-05-23,22711
2022-05-24,20457
2022-05-25,19512
2022-05-26,19485
2022-05-27,19031
2022-05-28,15486
2022-05-29,14470
2022-05-30,14065
2022-05-31,17574
2022-06-01,19970
2022-06-02,23062
2022-06-03,25887
2022-06-04,21322
2022-06-05,18955
2022-06-06,21570
2022-06-07,22428
2022-06-08,21747
2022-06-09,21510
2022-06-10,21511
2022-06-11,18367
2022-06-12,18381
2022-06-13,22172
2022-06-14,23895
2022-06-15,22560
2022-06-16,21990
2022-06-17,21664
2022-06-18,17606
2022-06-19,15867
2022-06-20,18480
2022-06-21,21495
2022-06-22,22938
2022-06-23,23904
2022-06-24,22119
2022-06-25,17461
2022-06-26,16629
2022-06-27,18676
2022-06-28,20051
2022-06-29,19830
2022-06-30,20378
2022-07-01,18713
2022-07-02,14710
2022-07-03,12402
2022-07-04,11735
2022-07-05,15864
2022-07-06,16406
2022-07-07,17922
2022-07-08,17848
2022-07-09,15130
2022-07-10,15650
2022-07-11,20024
2022-07-12,20800
2022-07-13,21024
2022-07-14,21956
2022-07-15,21680
2022-07-16,16745
2022-07-17,15240
2022-07-18,18637
2022-07-19,20158
2022-07-20,21566
2022-07-21,21200
2022-07-22,20112
2022-07-23,16340
2022-07-24,15570
2022-07-25,20145
2022-07-26,20624
2022-07-27,21179
2022-07-28,20577
2022-07-29,19569
2022-07-30,15228
2022-07-31,10374
2022-08-01,17558
2022-08-02,17526
2022-08-03,18257
2022-08-04,21747
2022-08-05,22072
2022-08-06,18588
2022-08-07,15729
2022-08-08,19325
2022-08-09,18926
2022-08-10,19312
2022-08-11,20041
2022-08-12,19130
2022-08-13,16320
2022-08-14,14142
2022-08-15,19152
2022-08-16,18814
2022-08-17,19466
2022-08-18,21109
2022-08-19,21840
2022-08-20,17695
2022-08-21,15620
2022-08-22,18440
2022-08-23,19802
2022-08-24,20177
2022-08-25,20754
2022-08-26,19294
2022-08-27,15146
2022-08-28,14257
2022-08-29,17349
2022-08-30,17662
2022-08-31,17380
2022-09-01,18760
2022-09-02,18719
2022-09-03,15256
2022-09-04,13496
2022-09-05,12500
2022-09-06,18358
2022-09-07,19237
2022-09-08,20698
2022-09-09,21425
2022-09-10,17840
2022-09-11,17455
2022-09-12,22779
2022-09-13,23488
2022-09-14,24792
2022-09-15,24987
2022-09-16,23268
2022-09-17,17428
2022-09-18,16575
2022-09-19,20067
2022-09-20,21487
2022-09-21,22099
2022-09-22,22716
2022-09-23,21385
2022-09-24,15182
2022-09-25,14948
2022-09-26,17259
2022-09-27,20469
2022-09-28,21883
2022-09-29,24562
2022-09-30,24812
2022-10-01,17962
2022-10-02,16081
2022-10-03,19115
2022-10-04,18190
2022-10-05,17994
2022-10-06,21684
2022-10-07,23734
2022-10-08,16715
2022-10-09,14036
2022-10-10,20700
2022-10-11,23140
2022-10-12,23407
2022-10-13,23184
2022-10-14,22316
2022-10-15,15173
2022-10-16,13908
2022-10-17,19249
2022-10-18,19724
2022-10-19,20603
2022-10-20,21526
2022-10-21,21035
2022-10-22,17431
2022-10-23,17196
2022-10-24,23420
2022-10-25,23051
2022-10-26,22656
2022-10-27,20803
2022-10-28,18664
2022-10-29,13541
2022-10-30,11848
2022-10-31,14159
2022-11-01,18900
2022-11-02,18944
2022-11-03,20835
2022-11-04,21888
2022-11-05,15989
2022-11-06,15292
2022-11-07,18249
2022-11-08,17571
2022-11-09,19336
2022-11-10,20618
2022-11-11,18214
2022-11-12,14522
2022-11-13,14972
2022-11-14,19443
2022-11-15,21433
2022-11-16,21687
2022-11-17,22407
2022-11-18,21776
2022-11-19,13568
2022-11-20,10998
2022-11-21,14042
2022-11-22,14671
2022-11-23,13546
2022-11-24,7951
2022-11-25,12510
2022-11-26,17348
2022-11-27,16565
2022-11-28,20762
2022-11-29,22065
2022-11-30,16210
2022-12-01,21841
2022-12-02,19808
2022-12-03,15619
2022-12-04,13517
2022-12-05,16316
2022-12-06,18106
2022-12-07,19440
2022-12-08,21238
2022-12-09,22190
2022-12-10,15694
2022-12-11,12746
2022-12-12,17103
2022-12-13,19946
2022-12-14,21671
2022-12-15,21394
2022-12-16,20878
2022-12-17,15839
2022-12-18,13428
2022-12-19,15547
2022-12-20,16817
2022-12-21,17605
2022-12-22,11381
2022-12-23,9672
2022-12-24,9403
2022-12-25,5577
2022-12-26,9444
2022-12-27,13054
2022-12-28,13639
2022-12-29,13655
2022-12-30,14363
2022-12-31,23913
