date,hour,rides
1/1/2022,0,446
1/1/2022,1,589
1/1/2022,2,587
1/1/2022,3,401
1/1/2022,4,240
1/1/2022,5,106
1/1/2022,6,133
1/1/2022,7,128
1/1/2022,8,176
1/1/2022,9,245
1/1/2022,10,316
1/1/2022,11,385
1/1/2022,12,435
1/1/2022,13,425
1/1/2022,14,421
1/1/2022,15,367
1/1/2022,16,345
1/1/2022,17,350
1/1/2022,18,318
1/1/2022,19,323
1/1/2022,20,289
1/1/2022,21,266
1/1/2022,22,236
1/1/2022,23,156
1/2/2022,0,135
1/2/2022,1,102
1/2/2022,2,73
1/2/2022,3,79
1/2/2022,4,60
1/2/2022,5,73
1/2/2022,6,106
1/2/2022,7,146
1/2/2022,8,197
1/2/2022,9,314
1/2/2022,10,483
1/2/2022,11,548
1/2/2022,12,505
1/2/2022,13,557
1/2/2022,14,542
1/2/2022,15,615
1/2/2022,16,595
1/2/2022,17,627
1/2/2022,18,615
1/2/2022,19,586
1/2/2022,20,571
1/2/2022,21,516
1/2/2022,22,410
1/2/2022,23,303
1/3/2022,0,238
1/3/2022,1,207
1/3/2022,2,161
1/3/2022,3,120
1/3/2022,4,90
1/3/2022,5,127
1/3/2022,6,216
1/3/2022,7,328
1/3/2022,8,486
1/3/2022,9,586
1/3/2022,10,645
1/3/2022,11,696
1/3/2022,12,760
1/3/2022,13,713
1/3/2022,14,788
1/3/2022,15,775
1/3/2022,16,684
1/3/2022,17,717
1/3/2022,18,666
1/3/2022,19,570
1/3/2022,20,469
1/3/2022,21,326
1/3/2022,22,266
1/3/2022,23,199
1/4/2022,0,203
1/4/2022,1,168
1/4/2022,2,111
1/4/2022,3,83
1/4/2022,4,62
1/4/2022,5,93
1/4/2022,6,166
1/4/2022,7,350
1/4/2022,8,500
1/4/2022,9,567
1/4/2022,10,610
1/4/2022,11,631
1/4/2022,12,655
1/4/2022,13,747
1/4/2022,14,735
1/4/2022,15,730
1/4/2022,16,700
1/4/2022,17,720
1/4/2022,18,577
1/4/2022,19,552
1/4/2022,20,442
1/4/2022,21,284
1/4/2022,22,189
1/4/2022,23,200
1/5/2022,0,163
1/5/2022,1,133
1/5/2022,2,48
1/5/2022,3,26
1/5/2022,4,51
1/5/2022,5,89
1/5/2022,6,160
1/5/2022,7,321
1/5/2022,8,516
1/5/2022,9,567
1/5/2022,10,615
1/5/2022,11,644
1/5/2022,12,709
1/5/2022,13,695
1/5/2022,14,730
1/5/2022,15,703
1/5/2022,16,718
1/5/2022,17,767
1/5/2022,18,599
1/5/2022,19,522
1/5/2022,20,379
1/5/2022,21,272
1/5/2022,22,231
1/5/2022,23,184
1/6/2022,0,114
1/6/2022,1,75
1/6/2022,2,42
1/6/2022,3,34
1/6/2022,4,31
1/6/2022,5,69
1/6/2022,6,148
1/6/2022,7,314
1/6/2022,8,495
1/6/2022,9,512
1/6/2022,10,610
1/6/2022,11,633
1/6/2022,12,700
1/6/2022,13,694
1/6/2022,14,690
1/6/2022,15,720
1/6/2022,16,695
1/6/2022,17,785
1/6/2022,18,631
1/6/2022,19,565
1/6/2022,20,387
1/6/2022,21,269
1/6/2022,22,257
1/6/2022,23,222
1/7/2022,0,146
1/7/2022,1,76
1/7/2022,2,60
1/7/2022,3,50
1/7/2022,4,59
1/7/2022,5,92
1/7/2022,6,151
1/7/2022,7,315
1/7/2022,8,446
1/7/2022,9,499
1/7/2022,10,549
1/7/2022,11,565
1/7/2022,12,597
1/7/2022,13,634
1/7/2022,14,710
1/7/2022,15,716
1/7/2022,16,725
1/7/2022,17,748
1/7/2022,18,665
1/7/2022,19,549
1/7/2022,20,428
1/7/2022,21,319
1/7/2022,22,284
1/7/2022,23,223
1/8/2022,0,192
1/8/2022,1,195
1/8/2022,2,145
1/8/2022,3,94
1/8/2022,4,82
1/8/2022,5,63
1/8/2022,6,100
1/8/2022,7,140
1/8/2022,8,176
1/8/2022,9,268
1/8/2022,10,400
1/8/2022,11,487
1/8/2022,12,502
1/8/2022,13,531
1/8/2022,14,511
1/8/2022,15,520
1/8/2022,16,513
1/8/2022,17,543
1/8/2022,18,456
1/8/2022,19,445
