date,hour,rides
2022-01-01,0,446
2022-01-01,1,589
2022-01-01,2,587
2022-01-01,3,401
2022-01-01,4,240
2022-01-01,5,106
2022-01-01,6,133
2022-01-01,7,128
2022-01-01,8,176
2022-01-01,9,245
2022-01-01,10,316
2022-01-01,11,385
2022-01-01,12,435
2022-01-01,13,425
2022-01-01,14,421
2022-01-01,15,367
2022-01-01,16,345
2022-01-01,17,350
2022-01-01,18,318
2022-01-01,19,323
2022-01-01,20,289
2022-01-01,21,266
2022-01-01,22,236
2022-01-01,23,156
2022-01-02,0,135
2022-01-02,1,102
2022-01-02,2,73
2022-01-02,3,79
2022-01-02,4,60
2022-01-02,5,73
2022-01-02,6,106
2022-01-02,7,146
2022-01-02,8,197
2022-01-02,9,314
2022-01-02,10,483
2022-01-02,11,548
2022-01-02,12,505
2022-01-02,13,557
2022-01-02,14,542
2022-01-02,15,615
2022-01-02,16,595
2022-01-02,17,627
2022-01-02,18,615
2022-01-02,19,586
2022-01-02,20,571
2022-01-02,21,516
2022-01-02,22,410
2022-01-02,23,303
2022-01-03,0,238
2022-01-03,1,207
2022-01-03,2,161
2022-01-03,3,120
2022-01-03,4,90
2022-01-03,5,127
2022-01-03,6,216
2022-01-03,7,328
2022-01-03,8,486
2022-01-03,9,586
2022-01-03,10,645
2022-01-03,11,696
2022-01-03,12,760
2022-01-03,13,713
2022-01-03,14,788
2022-01-03,15,775
2022-01-03,16,684
2022-01-03,17,717
2022-01-03,18,666
2022-01-03,19,570
2022-01-03,20,469
2022-01-03,21,326
2022-01-03,22,266
2022-01-03,23,199
2022-01-04,0,203
2022-01-04,1,168
2022-01-04,2,111
2022-01-04,3,83
2022-01-04,4,62
2022-01-04,5,93
2022-01-04,6,166
2022-01-04,7,350
2022-01-04,8,500
2022-01-04,9,567
2022-01-04,10,610
2022-01-04,11,631
2022-01-04,12,655
2022-01-04,13,747
2022-01-04,14,735
2022-01-04,15,730
2022-01-04,16,700
2022-01-04,17,720
2022-01-04,18,577
2022-01-04,19,552
2022-01-04,20,442
2022-01-04,21,284
2022-01-04,22,189
2022-01-04,23,200
2022-01-05,0,163
2022-01-05,1,133
2022-01-05,2,48
2022-01-05,3,26
2022-01-05,4,51
2022-01-05,5,89
2022-01-05,6,160
2022-01-05,7,321
2022-01-05,8,516
2022-01-05,9,567
2022-01-05,10,615
2022-01-05,11,644
2022-01-05,12,709
2022-01-05,13,695
2022-01-05,14,730
2022-01-05,15,703
2022-01-05,16,718
2022-01-05,17,767
2022-01-05,18,599
2022-01-05,19,522
2022-01-05,20,379
2022-01-05,21,272
2022-01-05,22,231
2022-01-05,23,184
2022-01-06,0,114
2022-01-06,1,75
2022-01-06,2,42
2022-01-06,3,34
2022-01-06,4,31
2022-01-06,5,69
2022-01-06,6,148
2022-01-06,7,314
2022-01-06,8,495
2022-01-06,9,512
2022-01-06,10,610
2022-01-06,11,633
2022-01-06,12,700
2022-01-06,13,694
2022-01-06,14,690
2022-01-06,15,720
2022-01-06,16,695
2022-01-06,17,785
2022-01-06,18,631
2022-01-06,19,565
2022-01-06,20,387
2022-01-06,21,269
2022-01-06,22,257
2022-01-06,23,222
2022-01-07,0,146
2022-01-07,1,76
2022-01-07,2,60
2022-01-07,3,50
2022-01-07,4,59
2022-01-07,5,92
2022-01-07,6,151
2022-01-07,7,315
2022-01-07,8,446
2022-01-07,9,499
2022-01-07,10,549
2022-01-07,11,565
2022-01-07,12,597
2022-01-07,13,634
2022-01-07,14,710
2022-01-07,15,716
2022-01-07,16,725
2022-01-07,17,748
2022-01-07,18,665
2022-01-07,19,549
2022-01-07,20,428
2022-01-07,21,319
2022-01-07,22,284
2022-01-07,23,223
2022-01-08,0,192
2022-01-08,1,195
2022-01-08,2,145
2022-01-08,3,94
2022-01-08,4,82
2022-01-08,5,63
2022-01-08,6,100
2022-01-08,7,140
2022-01-08,8,176
2022-01-08,9,268
2022-01-08,10,400
2022-01-08,11,487
2022-01-08,12,502
2022-01-08,13,531
2022-01-08,14,511
2022-01-08,15,520
2022-01-08,16,513
2022-01-08,17,543
2022-01-08,18,456
2022-01-08,19,445
2022-01-08,20,434
2022-01-08,21,419
2022-01-08,22,420
2022-01-08,23,358
2022-01-09,0,287
2022-01-09,1,242
2022-01-09,2,183
2022-01-09,3,149
2022-01-09,4,80
2022-01-09,5,89
2022-01-09,6,96
2022-01-09,7,145
2022-01-09,8,203
2022-01-09,9,223
2022-01-09,10,320
2022-01-09,11,365
2022-01-09,12,382
2022-01-09,13,398
2022-01-09,14,416
2022-01-09,15,460
2022-01-09,16,460
2022-01-09,17,449
2022-01-09,18,416
2022-01-09,19,385
2022-01-09,20,386
2022-01-09,21,254
2022-01-09,22,239
2022-01-09,23,201
2022-01-10,0,175
2022-01-10,1,105
2022-01-10,2,47
