date,rides
2022-12-02,19808
2022-12-03,15619
2022-12-04,13517
2022-12-05,16316
2022-12-06,18106
2022-12-07,19440
2022-12-08,21238
2022-12-09,22190
2022-12-10,15694
2022-12-11,12746
2022-12-12,17103
2022-12-13,19946
2022-12-14,21671
2022-12-15,21394
2022-12-16,20878
2022-12-17,15839
2022-12-18,13428
2022-12-19,15547
2022-12-20,16817
2022-12-21,17605
2022-12-22,11381
2022-12-23,9672
2022-12-24,9403
2022-12-25,5577
2022-12-26,9444
2022-12-27,13054
2022-12-28,13639
2022-12-29,13655
2022-12-30,14363
2022-12-31,23913
