datetime,rides
2022-12-25 00:00:00,137
2022-12-25 01:00:00,114
2022-12-25 02:00:00,76
2022-12-25 03:00:00,58
2022-12-25 04:00:00,54
2022-12-25 05:00:00,79
2022-12-25 06:00:00,116
2022-12-25 07:00:00,148
2022-12-25 08:00:00,170
2022-12-25 09:00:00,206
2022-12-25 10:00:00,284
2022-12-25 11:00:00,299
2022-12-25 12:00:00,330
2022-12-25 13:00:00,329
2022-12-25 14:00:00,338
2022-12-25 15:00:00,406
2022-12-25 16:00:00,385
2022-12-25 17:00:00,332
2022-12-25 18:00:00,324
2022-12-25 19:00:00,282
2022-12-25 20:00:00,301
2022-12-25 21:00:00,319
2022-12-25 22:00:00,270
2022-12-25 23:00:00,220
2022-12-26 00:00:00,167
2022-12-26 01:00:00,104
2022-12-26 02:00:00,64
2022-12-26 03:00:00,64
2022-12-26 04:00:00,61
2022-12-26 05:00:00,92
2022-12-26 06:00:00,113
2022-12-26 07:00:00,189
2022-12-26 08:00:00,252
2022-12-26 09:00:00,334
2022-12-26 10:00:00,443
2022-12-26 11:00:00,488
2022-12-26 12:00:00,585
2022-12-26 13:00:00,600
2022-12-26 14:00:00,614
2022-12-26 15:00:00,626
2022-12-26 16:00:00,711
2022-12-26 17:00:00,665
2022-12-26 18:00:00,696
2022-12-26 19:00:00,624
2022-12-26 20:00:00,577
2022-12-26 21:00:00,557
2022-12-26 22:00:00,506
2022-12-26 23:00:00,312
2022-12-27 00:00:00,228
2022-12-27 01:00:00,158
2022-12-27 02:00:00,88
2022-12-27 03:00:00,58
2022-12-27 04:00:00,64
2022-12-27 05:00:00,101
2022-12-27 06:00:00,219
2022-12-27 07:00:00,418
2022-12-27 08:00:00,575
2022-12-27 09:00:00,661
2022-12-27 10:00:00,697
2022-12-27 11:00:00,735
2022-12-27 12:00:00,804
2022-12-27 13:00:00,897
2022-12-27 14:00:00,945
2022-12-27 15:00:00,943
2022-12-27 16:00:00,965
2022-12-27 17:00:00,961
2022-12-27 18:00:00,891
2022-12-27 19:00:00,795
2022-12-27 20:00:00,594
2022-12-27 21:00:00,495
2022-12-27 22:00:00,428
2022-12-27 23:00:00,334
2022-12-28 00:00:00,237
2022-12-28 01:00:00,188
2022-12-28 02:00:00,88
2022-12-28 03:00:00,46
2022-12-28 04:00:00,53
2022-12-28 05:00:00,123
2022-12-28 06:00:00,213
2022-12-28 07:00:00,357
2022-12-28 08:00:00,547
2022-12-28 09:00:00,710
2022-12-28 10:00:00,769
2022-12-28 11:00:00,806
2022-12-28 12:00:00,859
2022-12-28 13:00:00,965
2022-12-28 14:00:00,960
2022-12-28 15:00:00,959
2022-12-28 16:00:00,1079
2022-12-28 17:00:00,1015
2022-12-28 18:00:00,956
2022-12-28 19:00:00,806
2022-12-28 20:00:00,619
2022-12-28 21:00:00,505
2022-12-28 22:00:00,444
2022-12-28 23:00:00,335
2022-12-29 00:00:00,228
2022-12-29 01:00:00,130
2022-12-29 02:00:00,90
2022-12-29 03:00:00,64
2022-12-29 04:00:00,76
2022-12-29 05:00:00,100
2022-12-29 06:00:00,225
2022-12-29 07:00:00,333
2022-12-29 08:00:00,541
2022-12-29 09:00:00,657
2022-12-29 10:00:00,732
2022-12-29 11:00:00,840
2022-12-29 12:00:00,881
2022-12-29 13:00:00,980
2022-12-29 14:00:00,976
2022-12-29 15:00:00,931
2022-12-29 16:00:00,1006
2022-12-29 17:00:00,1030
2022-12-29 18:00:00,907
2022-12-29 19:00:00,876
2022-12-29 20:00:00,715
2022-12-29 21:00:00,550
2022-12-29 22:00:00,413
2022-12-29 23:00:00,374
2022-12-30 00:00:00,287
2022-12-30 01:00:00,236
2022-12-30 02:00:00,133
2022-12-30 03:00:00,92
2022-12-30 04:00:00,66
2022-12-30 05:00:00,115
2022-12-30 06:00:00,204
2022-12-30 07:00:00,299
2022-12-30 08:00:00,461
2022-12-30 09:00:00,622
2022-12-30 10:00:00,764
2022-12-30 11:00:00,798
2022-12-30 12:00:00,887
2022-12-30 13:00:00,971
2022-12-30 14:00:00,1022
2022-12-30 15:00:00,1048
2022-12-30 16:00:00,1040
2022-12-30 17:00:00,1095
2022-12-30 18:00:00,1087
2022-12-30 19:00:00,905
2022-12-30 20:00:00,751
2022-12-30 21:00:00,619
2022-12-30 22:00:00,495
2022-12-30 23:00:00,366
2022-12-31 00:00:00,656
2022-12-31 01:00:00,644
2022-12-31 02:00:00,389
2022-12-31 03:00:00,266
2022-12-31 04:00:00,189
2022-12-31 05:00:00,208
2022-12-31 06:00:00,258
2022-12-31 07:00:00,305
2022-12-31 08:00:00,426
2022-12-31 09:00:00,779
2022-12-31 10:00:00,1050
2022-12-31 11:00:00,1075
2022-12-31 12:00:00,1268
2022-12-31 13:00:00,1428
2022-12-31 14:00:00,1480
2022-12-31 15:00:00,1496
2022-12-31 16:00:00,1620
2022-12-31 17:00:00,1765
2022-12-31 18:00:00,1790
2022-12-31 19:00:00,1826
2022-12-31 20:00:00,1619
2022-12-31 21:00:00,1447
2022-12-31 22:00:00,1085
2022-12-31 23:00:00,844
